,Age,MonthlyIncome,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Human Resources,Life Sciences,Marketing,Medical,Other,Technical Degree,AgeMinMax,AgeStand
831,31,2610.0,1,Travel_Frequently,874,Research & Development,15,3,Medical,3,Male,72,3,1,Laboratory Technician,3,Married,6233.0,1,No,12.0,3.0,3,1,2,5,2,2,2,2,2,0.0,0.0,0.0,1.0,0.0,0.0,0.3095238095238095,-0.6516709276881304
832,37,5731.0,0,Travel_Rarely,367,Research & Development,25,2,Medical,3,Female,52,2,2,Healthcare Representative,4,Divorced,17171.0,7,No,13.0,3.0,3,2,9,2,3,6,2,1,3,0.0,0.0,0.0,1.0,0.0,0.0,0.4523809523809524,0.0069685404478550305
833,27,2539.0,0,Travel_Rarely,199,Research & Development,6,3,Life Sciences,4,Male,55,2,1,Research Scientist,3,Married,7950.0,1,No,13.0,3.0,3,1,4,0,3,4,2,2,2,0.0,1.0,0.0,0.0,0.0,0.0,0.21428571428571425,-1.090763906445454
834,34,5714.0,0,Travel_Rarely,1400,Sales,9,1,Life Sciences,2,Female,70,3,2,Sales Executive,3,Married,5829.0,1,No,20.0,4.0,1,0,6,3,2,6,5,1,3,0.0,1.0,0.0,0.0,0.0,0.0,0.380952380952381,-0.3223511936201377
835,35,4323.0,0,Travel_Rarely,528,Human Resources,8,4,Technical Degree,3,Male,100,3,1,Human Resources,3,Single,7108.0,1,No,17.0,3.0,2,0,6,2,1,5,4,1,4,0.0,0.0,0.0,0.0,0.0,1.0,0.4047619047619047,-0.21257794893080678
836,29,7336.0,1,Travel_Rarely,408,Sales,23,1,Life Sciences,4,Female,45,2,3,Sales Executive,1,Married,11162.0,1,No,13.0,3.0,1,1,11,3,1,11,8,3,10,0.0,1.0,0.0,0.0,0.0,0.0,0.2619047619047619,-0.8712174170667922
837,40,13499.0,0,Travel_Frequently,593,Research & Development,9,4,Medical,2,Female,88,3,3,Research Director,3,Single,13782.0,9,No,17.0,3.0,3,0,20,3,2,18,7,2,13,0.0,0.0,0.0,1.0,0.0,0.0,0.5238095238095237,0.33628827451584775
838,42,13758.0,1,Travel_Frequently,481,Sales,12,3,Life Sciences,3,Male,44,3,4,Sales Executive,1,Single,2447.0,0,Yes,12.0,3.0,2,0,22,2,2,21,9,13,14,0.0,1.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.5558347638945096
839,42,5155.0,0,Travel_Rarely,647,Sales,4,4,Marketing,2,Male,45,3,2,Sales Executive,1,Single,2253.0,7,No,13.0,3.0,4,0,9,3,4,6,4,1,5,0.0,0.0,1.0,0.0,0.0,0.0,0.5714285714285714,0.5558347638945096
840,35,2258.0,0,Travel_Rarely,982,Research & Development,1,4,Medical,4,Male,58,2,1,Laboratory Technician,3,Married,16340.0,6,No,12.0,3.0,2,1,10,2,3,8,0,1,7,0.0,0.0,0.0,1.0,0.0,0.0,0.4047619047619047,-0.21257794893080678
841,24,3597.0,0,Travel_Rarely,477,Research & Development,24,3,Medical,4,Male,49,3,1,Laboratory Technician,2,Single,6409.0,8,No,22.0,4.0,4,0,6,2,3,4,3,1,2,0.0,0.0,0.0,1.0,0.0,0.0,0.14285714285714285,-1.4200836405134467
842,28,2515.0,1,Travel_Rarely,1485,Research & Development,12,1,Life Sciences,3,Female,79,3,1,Laboratory Technician,4,Married,22955.0,1,Yes,11.0,3.0,4,0,1,4,2,1,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.23809523809523808,-0.9809906617561232
843,26,4420.0,0,Travel_Rarely,1384,Research & Development,3,4,Medical,1,Male,82,4,1,Laboratory Technician,4,Married,13421.0,1,No,22.0,4.0,2,1,8,2,3,8,7,0,7,0.0,0.0,0.0,1.0,0.0,0.0,0.19047619047619052,-1.2005371511347849
844,30,6578.0,0,Travel_Rarely,852,Sales,10,3,Marketing,3,Male,72,2,2,Sales Executive,3,Married,2706.0,1,No,18.0,3.0,1,1,10,3,3,10,3,1,4,0.0,0.0,1.0,0.0,0.0,0.0,0.28571428571428564,-0.7614441723774613
845,40,4422.0,0,Travel_Frequently,902,Research & Development,26,2,Medical,3,Female,92,2,2,Research Scientist,4,Married,21203.0,3,Yes,13.0,3.0,4,1,16,3,1,1,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.5238095238095237,0.33628827451584775
846,35,10274.0,0,Travel_Rarely,819,Research & Development,2,3,Life Sciences,3,Male,44,2,3,Manufacturing Director,2,Divorced,19588.0,2,No,18.0,3.0,2,1,15,2,4,7,7,6,4,0.0,1.0,0.0,0.0,0.0,0.0,0.4047619047619047,-0.21257794893080678
847,34,5343.0,0,Travel_Frequently,669,Research & Development,1,3,Medical,4,Male,97,2,2,Healthcare Representative,1,Single,25755.0,0,No,20.0,4.0,3,0,14,3,3,13,9,4,9,0.0,0.0,0.0,1.0,0.0,0.0,0.380952380952381,-0.3223511936201377
848,35,2376.0,0,Travel_Frequently,636,Research & Development,4,4,Other,4,Male,47,2,1,Laboratory Technician,4,Married,26537.0,1,No,13.0,3.0,2,1,2,2,4,2,2,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.4047619047619047,-0.21257794893080678
849,43,5346.0,1,Travel_Rarely,1372,Sales,9,3,Marketing,1,Female,85,1,2,Sales Executive,3,Single,9489.0,8,No,13.0,3.0,2,0,7,2,2,4,3,1,3,0.0,0.0,1.0,0.0,0.0,0.0,0.5952380952380951,0.6656080085838405
850,32,2827.0,0,Non-Travel,862,Sales,2,1,Life Sciences,3,Female,76,3,1,Sales Representative,1,Divorced,14947.0,1,No,12.0,3.0,3,3,1,3,3,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,-0.5418976829987995
851,56,19943.0,0,Travel_Rarely,718,Research & Development,4,4,Technical Degree,4,Female,92,3,5,Manager,1,Divorced,18575.0,4,No,13.0,3.0,4,1,28,2,3,5,2,4,2,0.0,0.0,0.0,0.0,0.0,1.0,0.9047619047619047,2.092660189545142
852,29,3131.0,0,Travel_Rarely,1401,Research & Development,6,1,Medical,2,Female,54,3,1,Laboratory Technician,4,Married,26342.0,1,No,13.0,3.0,1,1,10,5,3,10,8,0,8,0.0,0.0,0.0,1.0,0.0,0.0,0.2619047619047619,-0.8712174170667922
853,19,2552.0,0,Travel_Rarely,645,Research & Development,9,2,Life Sciences,3,Male,54,3,1,Research Scientist,1,Single,7172.0,1,No,25.0,4.0,3,0,1,4,3,1,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.02380952380952378,-1.9689498639601013
854,45,4477.0,0,Travel_Rarely,1457,Research & Development,7,3,Medical,1,Female,83,3,1,Research Scientist,3,Married,20100.0,4,Yes,19.0,3.0,3,1,7,2,2,3,2,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.6428571428571428,0.8851544979625023
855,37,6474.0,0,Travel_Rarely,977,Research & Development,1,3,Life Sciences,4,Female,56,2,2,Manufacturing Director,4,Married,9961.0,1,No,13.0,3.0,2,1,14,2,2,14,8,3,11,0.0,1.0,0.0,0.0,0.0,0.0,0.4523809523809524,0.0069685404478550305
856,20,3033.0,0,Travel_Rarely,805,Research & Development,3,3,Life Sciences,1,Male,87,2,1,Laboratory Technician,3,Single,12828.0,1,No,12.0,3.0,1,0,2,2,2,2,2,1,2,0.0,1.0,0.0,0.0,0.0,0.0,0.047619047619047616,-1.8591766192707704
857,44,2936.0,1,Travel_Rarely,1097,Research & Development,10,4,Life Sciences,3,Male,96,3,1,Research Scientist,3,Single,10826.0,1,Yes,11.0,3.0,3,0,6,4,3,6,4,0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.6190476190476188,0.7753812532731714
858,53,18606.0,0,Travel_Rarely,1223,Research & Development,7,2,Medical,4,Female,50,3,5,Manager,3,Divorced,18640.0,3,No,18.0,3.0,2,1,26,6,3,7,7,4,7,0.0,0.0,0.0,1.0,0.0,0.0,0.8333333333333333,1.7633404554771495
859,29,2168.0,0,Travel_Rarely,942,Research & Development,15,1,Life Sciences,2,Female,69,1,1,Research Scientist,4,Married,26933.0,0,Yes,18.0,3.0,1,1,6,2,2,5,4,1,3,0.0,1.0,0.0,0.0,0.0,0.0,0.2619047619047619,-0.8712174170667922
860,22,2853.0,1,Travel_Frequently,1256,Research & Development,3,4,Life Sciences,3,Male,48,2,1,Research Scientist,4,Married,4223.0,0,Yes,11.0,3.0,2,1,1,5,3,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.09523809523809518,-1.6396301298921085
861,46,17048.0,0,Travel_Rarely,1402,Sales,2,3,Marketing,3,Female,69,3,4,Manager,1,Married,24097.0,8,No,23.0,4.0,1,0,28,2,3,26,15,15,9,0.0,0.0,1.0,0.0,0.0,0.0,0.6666666666666665,0.9949277426518331
862,44,2290.0,0,Non-Travel,111,Research & Development,17,3,Life Sciences,4,Male,74,1,1,Research Scientist,3,Single,4279.0,2,No,13.0,3.0,4,0,6,3,3,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.6190476190476188,0.7753812532731714
863,33,3600.0,0,Travel_Rarely,147,Human Resources,2,3,Human Resources,2,Male,99,3,1,Human Resources,3,Married,8429.0,1,No,13.0,3.0,4,1,5,2,3,5,4,1,4,1.0,0.0,0.0,0.0,0.0,0.0,0.35714285714285715,-0.4321244383094686
864,41,2107.0,1,Non-Travel,906,Research & Development,5,2,Life Sciences,1,Male,95,2,1,Research Scientist,1,Divorced,20293.0,6,No,17.0,3.0,1,1,5,2,1,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.5476190476190477,0.44606151920517867
865,30,4115.0,0,Travel_Rarely,1329,Sales,29,4,Life Sciences,3,Male,61,3,2,Sales Executive,1,Divorced,13192.0,8,No,19.0,3.0,3,3,8,3,3,4,3,0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.28571428571428564,-0.7614441723774613
866,40,4327.0,0,Travel_Frequently,1184,Sales,2,4,Medical,2,Male,62,3,2,Sales Executive,2,Married,25440.0,5,No,12.0,3.0,4,3,5,2,3,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.5238095238095237,0.33628827451584775
867,50,17856.0,0,Travel_Frequently,1421,Research & Development,2,3,Medical,4,Female,30,3,4,Manager,1,Married,9490.0,2,No,22.0,4.0,3,1,32,3,3,2,2,2,2,0.0,0.0,0.0,1.0,0.0,0.0,0.7619047619047619,1.434020721409157
868,28,3196.0,0,Travel_Rarely,1179,Research & Development,19,4,Medical,4,Male,78,2,1,Laboratory Technician,1,Married,12449.0,1,No,12.0,3.0,3,3,6,2,3,6,5,3,3,0.0,0.0,0.0,1.0,0.0,0.0,0.23809523809523808,-0.9809906617561232
869,46,19081.0,0,Travel_Rarely,1450,Research & Development,15,2,Life Sciences,4,Male,52,3,5,Research Director,2,Married,10849.0,5,No,11.0,3.0,1,1,25,2,3,4,2,0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666665,0.9949277426518331
870,35,8966.0,0,Travel_Rarely,1361,Sales,17,4,Life Sciences,3,Male,94,3,2,Sales Executive,1,Married,21026.0,3,Yes,15.0,3.0,4,3,15,2,3,7,7,1,7,0.0,1.0,0.0,0.0,0.0,0.0,0.4047619047619047,-0.21257794893080678
871,24,2210.0,1,Travel_Rarely,984,Research & Development,17,2,Life Sciences,4,Female,97,3,1,Laboratory Technician,2,Married,3372.0,1,No,13.0,3.0,1,1,1,3,1,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.14285714285714285,-1.4200836405134467
872,33,4539.0,0,Travel_Frequently,1146,Sales,25,3,Medical,2,Female,82,3,2,Sales Executive,3,Married,4905.0,1,No,12.0,3.0,1,1,10,3,2,10,7,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.35714285714285715,-0.4321244383094686
873,36,2741.0,0,Travel_Rarely,917,Research & Development,6,4,Life Sciences,3,Male,60,1,1,Laboratory Technician,3,Divorced,6865.0,1,No,14.0,3.0,3,1,7,4,3,7,7,1,7,0.0,1.0,0.0,0.0,0.0,0.0,0.42857142857142855,-0.10280470424147588
874,30,3491.0,0,Travel_Rarely,853,Research & Development,7,4,Life Sciences,3,Male,49,3,2,Laboratory Technician,3,Divorced,11309.0,1,No,13.0,3.0,1,3,10,4,2,10,7,8,9,0.0,1.0,0.0,0.0,0.0,0.0,0.28571428571428564,-0.7614441723774613
875,44,4541.0,0,Travel_Rarely,200,Research & Development,29,4,Other,4,Male,32,3,2,Research Scientist,4,Single,7744.0,1,No,25.0,4.0,2,0,20,3,3,20,11,13,17,0.0,0.0,0.0,0.0,1.0,0.0,0.6190476190476188,0.7753812532731714
876,20,2678.0,0,Travel_Rarely,654,Sales,21,3,Marketing,3,Male,43,4,1,Sales Representative,4,Single,5050.0,1,No,17.0,3.0,4,0,2,2,3,2,1,2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.047619047619047616,-1.8591766192707704
877,46,7379.0,0,Travel_Rarely,150,Research & Development,2,4,Technical Degree,4,Male,60,3,2,Manufacturing Director,4,Divorced,17433.0,2,No,11.0,3.0,3,1,12,3,2,6,3,1,4,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666665,0.9949277426518331
878,42,6272.0,0,Non-Travel,179,Human Resources,2,5,Medical,4,Male,79,4,2,Human Resources,1,Married,12858.0,7,No,16.0,3.0,1,1,10,3,4,4,3,0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.5714285714285714,0.5558347638945096
879,60,5220.0,0,Travel_Rarely,696,Sales,7,4,Marketing,2,Male,52,4,2,Sales Executive,4,Divorced,10893.0,0,Yes,18.0,3.0,2,1,12,3,3,11,7,1,9,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999998,2.531753168302466
880,32,2743.0,0,Travel_Frequently,116,Research & Development,13,3,Other,3,Female,77,2,1,Laboratory Technician,2,Married,7331.0,1,No,20.0,4.0,3,1,2,2,3,2,2,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,-0.5418976829987995
881,32,4998.0,0,Travel_Frequently,1316,Research & Development,2,2,Life Sciences,4,Female,38,3,2,Research Scientist,3,Single,2338.0,4,Yes,14.0,3.0,4,0,10,2,3,8,7,0,7,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,-0.5418976829987995
882,36,10252.0,0,Travel_Rarely,363,Research & Development,1,3,Technical Degree,3,Female,77,1,3,Manufacturing Director,1,Divorced,4235.0,2,Yes,21.0,4.0,3,1,17,2,3,7,7,7,7,0.0,0.0,0.0,0.0,0.0,1.0,0.42857142857142855,-0.10280470424147588
883,33,2781.0,0,Travel_Rarely,117,Research & Development,9,3,Medical,1,Male,60,3,1,Research Scientist,4,Married,6311.0,0,No,13.0,3.0,2,1,15,5,3,14,10,4,10,0.0,0.0,0.0,1.0,0.0,0.0,0.35714285714285715,-0.4321244383094686
884,40,6852.0,0,Travel_Rarely,107,Sales,10,3,Technical Degree,2,Female,84,2,2,Sales Executive,2,Divorced,11591.0,7,No,12.0,3.0,2,1,7,2,4,5,1,1,3,0.0,0.0,0.0,0.0,0.0,1.0,0.5238095238095237,0.33628827451584775
885,25,4950.0,0,Travel_Rarely,1356,Sales,10,4,Life Sciences,3,Male,57,3,2,Sales Executive,4,Single,20623.0,0,No,14.0,3.0,2,0,5,4,3,4,3,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.16666666666666669,-1.3103103958241158
886,30,3579.0,0,Travel_Rarely,1465,Research & Development,1,3,Medical,4,Male,63,3,1,Research Scientist,2,Married,9369.0,0,Yes,21.0,4.0,1,1,12,2,3,11,9,5,7,0.0,0.0,0.0,1.0,0.0,0.0,0.28571428571428564,-0.7614441723774613
887,42,13191.0,0,Travel_Frequently,458,Research & Development,26,5,Medical,1,Female,60,3,3,Research Director,1,Married,23281.0,3,Yes,17.0,3.0,3,0,20,6,3,1,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.5714285714285714,0.5558347638945096
888,35,10377.0,0,Non-Travel,1212,Sales,8,2,Marketing,3,Female,78,2,3,Sales Executive,4,Married,13755.0,4,Yes,11.0,3.0,2,1,16,6,2,13,2,4,12,0.0,0.0,1.0,0.0,0.0,0.0,0.4047619047619047,-0.21257794893080678
889,27,2235.0,0,Travel_Rarely,1103,Research & Development,14,3,Life Sciences,1,Male,42,3,1,Research Scientist,1,Married,14377.0,1,Yes,14.0,3.0,4,2,9,3,2,9,7,6,8,0.0,1.0,0.0,0.0,0.0,0.0,0.21428571428571425,-1.090763906445454
890,54,10502.0,0,Travel_Frequently,966,Research & Development,1,4,Life Sciences,4,Female,53,3,3,Manufacturing Director,3,Divorced,9659.0,7,No,17.0,3.0,1,1,33,2,1,5,4,1,4,0.0,1.0,0.0,0.0,0.0,0.0,0.857142857142857,1.8731137001664804
891,44,2011.0,0,Travel_Rarely,1117,Research & Development,2,1,Life Sciences,1,Female,72,4,1,Research Scientist,4,Married,19982.0,1,No,13.0,3.0,4,1,10,5,3,10,5,7,7,0.0,1.0,0.0,0.0,0.0,0.0,0.6190476190476188,0.7753812532731714
892,19,1859.0,1,Non-Travel,504,Research & Development,10,3,Medical,1,Female,96,2,1,Research Scientist,2,Single,6148.0,1,Yes,25.0,4.0,2,0,1,2,4,1,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.02380952380952378,-1.9689498639601013
893,29,3760.0,0,Travel_Rarely,1010,Research & Development,1,3,Life Sciences,1,Female,97,3,1,Research Scientist,4,Divorced,5598.0,1,No,15.0,3.0,1,3,3,5,3,3,2,1,2,0.0,1.0,0.0,0.0,0.0,0.0,0.2619047619047619,-0.8712174170667922
894,54,17779.0,0,Travel_Rarely,685,Research & Development,3,3,Life Sciences,4,Male,85,3,4,Research Director,4,Married,23474.0,3,No,14.0,3.0,1,0,36,2,3,10,9,0,9,0.0,1.0,0.0,0.0,0.0,0.0,0.857142857142857,1.8731137001664804
895,31,6833.0,0,Travel_Rarely,1332,Research & Development,11,2,Medical,3,Male,80,3,2,Healthcare Representative,1,Married,17089.0,1,Yes,12.0,3.0,4,0,6,2,2,6,5,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.3095238095238095,-0.6516709276881304
896,31,6812.0,0,Travel_Rarely,1062,Research & Development,24,3,Medical,3,Female,96,2,2,Healthcare Representative,1,Single,17198.0,1,No,19.0,3.0,2,0,10,2,3,10,9,1,8,0.0,0.0,0.0,1.0,0.0,0.0,0.3095238095238095,-0.6516709276881304
897,59,5171.0,0,Travel_Rarely,326,Sales,3,3,Life Sciences,3,Female,48,2,2,Sales Executive,4,Single,16490.0,5,No,17.0,3.0,4,0,13,2,3,6,1,0,5,0.0,1.0,0.0,0.0,0.0,0.0,0.976190476190476,2.421979923613135
898,43,19740.0,0,Travel_Rarely,920,Research & Development,3,3,Life Sciences,3,Male,96,1,5,Research Director,4,Married,18625.0,3,No,14.0,3.0,2,1,25,2,3,8,7,0,7,0.0,1.0,0.0,0.0,0.0,0.0,0.5952380952380951,0.6656080085838405
899,49,18711.0,0,Travel_Rarely,1098,Research & Development,4,2,Medical,1,Male,85,2,5,Manager,3,Married,12124.0,2,No,13.0,3.0,3,1,23,2,4,1,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.7380952380952379,1.324247476719826
900,36,3692.0,0,Travel_Frequently,469,Research & Development,3,3,Technical Degree,3,Male,46,3,1,Research Scientist,2,Married,9256.0,1,No,12.0,3.0,3,0,12,2,2,11,10,0,7,0.0,0.0,0.0,0.0,0.0,1.0,0.42857142857142855,-0.10280470424147588
901,48,2559.0,0,Travel_Rarely,969,Research & Development,2,2,Technical Degree,4,Male,76,4,1,Laboratory Technician,2,Single,16620.0,5,No,11.0,3.0,3,0,7,4,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.7142857142857142,1.214474232030495
902,27,2517.0,0,Travel_Rarely,1167,Research & Development,4,2,Life Sciences,1,Male,76,3,1,Research Scientist,3,Divorced,3208.0,1,No,11.0,3.0,2,3,5,2,3,5,3,0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.21428571428571425,-1.090763906445454
903,29,6623.0,0,Travel_Rarely,1329,Research & Development,7,3,Life Sciences,3,Male,82,3,2,Healthcare Representative,4,Divorced,4204.0,1,Yes,11.0,3.0,2,2,6,2,3,6,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.2619047619047619,-0.8712174170667922
904,48,18265.0,0,Travel_Rarely,715,Research & Development,1,3,Life Sciences,4,Male,76,2,5,Research Director,4,Single,8733.0,6,No,12.0,3.0,3,0,25,3,4,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.7142857142857142,1.214474232030495
905,29,16124.0,0,Travel_Rarely,694,Research & Development,1,3,Life Sciences,4,Female,87,2,4,Research Director,4,Divorced,3423.0,3,No,14.0,3.0,2,2,9,2,2,7,7,1,7,0.0,1.0,0.0,0.0,0.0,0.0,0.2619047619047619,-0.8712174170667922
906,34,2585.0,0,Travel_Rarely,1320,Research & Development,20,3,Technical Degree,3,Female,89,4,1,Research Scientist,3,Married,21643.0,0,No,17.0,3.0,4,0,2,5,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.380952380952381,-0.3223511936201377
907,44,18213.0,0,Travel_Rarely,1099,Sales,5,3,Marketing,2,Male,88,3,5,Manager,2,Married,8751.0,7,No,11.0,3.0,3,1,26,5,3,22,9,3,10,0.0,0.0,1.0,0.0,0.0,0.0,0.6190476190476188,0.7753812532731714
908,33,8380.0,0,Travel_Rarely,536,Sales,10,5,Marketing,4,Male,82,4,3,Sales Executive,3,Divorced,21708.0,0,Yes,14.0,3.0,4,2,10,3,3,9,8,0,8,0.0,0.0,1.0,0.0,0.0,0.0,0.35714285714285715,-0.4321244383094686
909,19,2994.0,0,Travel_Rarely,265,Research & Development,25,3,Life Sciences,2,Female,57,4,1,Research Scientist,4,Single,21221.0,1,Yes,12.0,3.0,4,0,1,2,3,1,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.02380952380952378,-1.9689498639601013
910,23,1223.0,0,Travel_Rarely,373,Research & Development,1,2,Life Sciences,4,Male,47,3,1,Research Scientist,3,Married,16901.0,1,No,22.0,4.0,4,1,1,2,3,1,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.11904761904761901,-1.5298568852027776
911,25,1118.0,1,Travel_Frequently,599,Sales,24,1,Life Sciences,3,Male,73,1,1,Sales Representative,4,Single,8040.0,1,Yes,14.0,3.0,4,0,1,4,3,1,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.16666666666666669,-1.3103103958241158
912,26,2875.0,0,Travel_Rarely,583,Research & Development,4,2,Life Sciences,3,Male,53,3,1,Research Scientist,4,Single,9973.0,1,Yes,20.0,4.0,2,0,8,2,2,8,5,2,2,0.0,1.0,0.0,0.0,0.0,0.0,0.19047619047619052,-1.2005371511347849
913,45,18824.0,1,Travel_Rarely,1449,Sales,2,3,Marketing,1,Female,94,1,5,Manager,2,Single,2493.0,2,Yes,16.0,3.0,1,0,26,2,3,24,10,1,11,0.0,0.0,1.0,0.0,0.0,0.0,0.6428571428571428,0.8851544979625023
914,55,13577.0,0,Non-Travel,177,Research & Development,8,1,Medical,4,Male,37,2,4,Healthcare Representative,2,Divorced,25592.0,1,Yes,15.0,3.0,4,1,34,3,3,33,9,15,0,0.0,0.0,0.0,1.0,0.0,0.0,0.8809523809523809,1.9828869448558113
915,21,2625.0,1,Travel_Frequently,251,Research & Development,10,2,Life Sciences,1,Female,45,2,1,Laboratory Technician,3,Single,25308.0,1,No,20.0,4.0,3,0,2,2,1,2,2,2,2,0.0,1.0,0.0,0.0,0.0,0.0,0.07142857142857145,-1.7494033745814395
916,46,18789.0,0,Travel_Rarely,168,Sales,4,2,Marketing,4,Female,33,2,5,Manager,2,Married,9946.0,2,No,14.0,3.0,3,1,26,2,3,11,4,0,8,0.0,0.0,1.0,0.0,0.0,0.0,0.6666666666666665,0.9949277426518331
917,34,4538.0,0,Travel_Rarely,131,Sales,2,3,Marketing,3,Female,86,3,2,Sales Executive,1,Single,6039.0,0,Yes,12.0,3.0,4,0,4,3,3,3,2,0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.380952380952381,-0.3223511936201377
918,51,19847.0,0,Travel_Frequently,237,Sales,9,3,Life Sciences,4,Male,83,3,5,Manager,2,Divorced,19196.0,4,Yes,24.0,4.0,1,1,31,5,2,29,10,11,10,0.0,1.0,0.0,0.0,0.0,0.0,0.7857142857142856,1.5437939660984878
919,59,10512.0,0,Travel_Rarely,1429,Research & Development,18,4,Medical,4,Male,67,3,3,Manufacturing Director,4,Single,20002.0,6,No,12.0,3.0,4,0,25,6,2,9,7,5,4,0.0,0.0,0.0,1.0,0.0,0.0,0.976190476190476,2.421979923613135
920,34,4444.0,0,Travel_Frequently,135,Research & Development,19,3,Medical,3,Female,46,3,2,Laboratory Technician,2,Divorced,22534.0,4,No,13.0,3.0,3,2,15,2,4,11,8,5,10,0.0,0.0,0.0,1.0,0.0,0.0,0.380952380952381,-0.3223511936201377
921,28,2154.0,0,Travel_Frequently,791,Research & Development,1,4,Medical,4,Male,44,3,1,Laboratory Technician,3,Single,6842.0,0,Yes,11.0,3.0,3,0,5,2,2,4,2,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.23809523809523808,-0.9809906617561232
922,44,19190.0,0,Travel_Rarely,1199,Research & Development,4,2,Life Sciences,3,Male,92,4,5,Manager,1,Divorced,17477.0,1,No,14.0,3.0,4,2,26,4,2,25,9,14,13,0.0,1.0,0.0,0.0,0.0,0.0,0.6190476190476188,0.7753812532731714
923,34,4490.0,0,Travel_Frequently,648,Human Resources,11,3,Life Sciences,3,Male,56,2,2,Human Resources,2,Married,21833.0,4,No,11.0,3.0,4,2,14,5,4,10,9,1,8,0.0,1.0,0.0,0.0,0.0,0.0,0.380952380952381,-0.3223511936201377
924,35,3506.0,0,Travel_Rarely,735,Research & Development,6,1,Life Sciences,3,Male,66,3,1,Research Scientist,3,Married,6020.0,0,Yes,14.0,3.0,4,0,4,3,3,3,2,2,2,0.0,1.0,0.0,0.0,0.0,0.0,0.4047619047619047,-0.21257794893080678
925,42,2372.0,0,Travel_Rarely,603,Research & Development,7,4,Medical,2,Female,78,4,2,Research Scientist,2,Married,5628.0,6,Yes,16.0,3.0,4,0,18,2,3,1,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.5714285714285714,0.5558347638945096
926,43,10231.0,0,Travel_Rarely,531,Sales,4,4,Marketing,4,Female,56,2,3,Sales Executive,4,Single,20364.0,3,No,14.0,3.0,4,0,23,3,4,21,7,15,17,0.0,0.0,1.0,0.0,0.0,0.0,0.5952380952380951,0.6656080085838405
927,36,5410.0,0,Travel_Rarely,429,Research & Development,2,4,Life Sciences,3,Female,53,3,2,Manufacturing Director,2,Single,2323.0,9,Yes,11.0,3.0,4,0,18,2,3,16,14,5,12,0.0,1.0,0.0,0.0,0.0,0.0,0.42857142857142855,-0.10280470424147588
928,44,7978.0,1,Travel_Rarely,621,Research & Development,15,3,Medical,1,Female,73,3,3,Healthcare Representative,4,Married,14075.0,1,No,11.0,3.0,4,1,10,2,3,10,7,0,5,0.0,0.0,0.0,1.0,0.0,0.0,0.6190476190476188,0.7753812532731714
